,type,release_year,genre,genres_yearly_count
13,Movie,2021,International,105
12,Movie,2021,Dramas,84
11,Movie,2021,Comedies,52
155,Movie,2020,International,223
123,Movie,2020,Dramas,193
122,Movie,2020,Comedies,134
386,Movie,2019,International,320
351,Movie,2019,Dramas,280
368,Movie,2019,Comedies,164
114,Movie,2018,International,422
113,Movie,2018,Dramas,399
130,Movie,2018,Comedies,213
148,Movie,2017,International,402
37,Movie,2017,Dramas,365
558,Movie,2017,Documentaries,214
254,Movie,2016,International,414
312,Movie,2016,Dramas,362
199,Movie,2016,Comedies,181
500,Movie,2015,International,278
146,Movie,2015,Dramas,248
145,Movie,2015,Comedies,115
182,Movie,2014,International,184
181,Movie,2014,Dramas,155
244,Movie,2014,Comedies,96
265,Movie,2013,International,157
264,Movie,2013,Dramas,123
307,Movie,2013,Comedies,71
256,Movie,2012,International,104
301,Movie,2012,Dramas,101
255,Movie,2012,Comedies,69
273,Movie,2011,Dramas,75
272,Movie,2011,Comedies,67
83,Movie,2011,International,60
99,Movie,2010,International,97
176,Movie,2010,Dramas,81
25,Movie,2010,Comedies,61
91,Movie,2009,International,57
344,Movie,2009,Comedies,54
143,Movie,2009,Dramas,47
248,Movie,2008,Dramas,59
87,Movie,2008,International,53
223,Movie,2008,Comedies,53
184,Movie,2007,Dramas,41
95,Movie,2007,International,39
354,Movie,2007,Comedies,35
107,Movie,2006,International,48
226,Movie,2006,Dramas,44
249,Movie,2006,Comedies,41
160,Movie,2005,Dramas,40
103,Movie,2005,International,34
251,Movie,2005,Comedies,32
159,Movie,2004,Comedies,32
75,Movie,2004,International,32
379,Movie,2004,Dramas,28
173,Movie,2003,Dramas,26
210,Movie,2003,Comedies,24
68,Movie,2003,Action,22
341,Movie,2002,Dramas,36
67,Movie,2002,International,28
64,Movie,2002,Action,23
175,Movie,2001,Comedies,24
58,Movie,2001,Dramas,23
79,Movie,2001,International,15
455,Movie,2000,Comedies,21
372,Movie,2000,Dramas,20
370,Movie,2000,Action,17
360,Movie,1999,Dramas,17
556,Movie,1999,International,15
218,Movie,1999,Comedies,14
493,Movie,1998,Dramas,18
21,Movie,1998,Comedies,16
23,Movie,1998,Romantic,9
448,Movie,1997,Action,14
449,Movie,1997,Adventure,14
451,Movie,1997,Comedies,14
212,Movie,1996,Comedies,10
545,Movie,1996,Dramas,8
245,Movie,1996,Romantic,5
284,Movie,1995,Dramas,10
456,Movie,1995,Action,9
457,Movie,1995,Adventure,9
140,Movie,1994,Dramas,11
169,Movie,1994,Action,10
170,Movie,1994,Adventure,10
6,Movie,1993,Dramas,28
8,Movie,1993,International,16
246,Movie,1993,Classic,11
1053,Movie,1992,Classic,12
580,Movie,1992,Dramas,8
574,Movie,1992,Action,7
363,Movie,1991,Dramas,10
729,Movie,1991,Independent,6
189,Movie,1991,Comedies,5
639,Movie,1990,Dramas,11
636,Movie,1990,Action,9
637,Movie,1990,Adventure,9
180,Movie,1989,Dramas,11
786,Movie,1989,International,8
480,Movie,1989,Children,6
642,Movie,1988,Dramas,7
466,Movie,1988,Comedies,6
995,Movie,1988,International,3
842,Movie,1987,Dramas,4
52,Movie,1987,Action,3
53,Movie,1987,Adventure,3
202,Movie,1986,Action,9
203,Movie,1986,Adventure,9
479,Movie,1986,Dramas,6
311,Movie,1985,International,7
309,Movie,1985,Comedies,4
1334,Movie,1985,Dramas,3
220,Movie,1984,Dramas,7
219,Movie,1984,Classic,6
475,Movie,1984,Action,6
999,Movie,1983,International,8
998,Movie,1983,Dramas,6
48,Movie,1983,Action,4
730,Movie,1982,Dramas,10
732,Movie,1982,International,9
731,Movie,1982,Independent,6
542,Movie,1981,Comedies,5
601,Movie,1981,Dramas,4
810,Movie,1981,International,4
734,Movie,1980,International,8
482,Movie,1980,Action,7
483,Movie,1980,Adventure,7
784,Movie,1979,Classic,8
719,Movie,1979,International,7
785,Movie,1979,Dramas,4
979,Movie,1978,International,4
45,Movie,1978,Dramas,3
977,Movie,1978,Action,3
1109,Movie,1977,Action,3
1110,Movie,1977,Adventure,3
1111,Movie,1977,Classic,3
432,Movie,1976,Dramas,4
546,Movie,1976,Action,4
547,Movie,1976,Adventure,4
43,Movie,1975,Classic,6
727,Movie,1975,International,6
44,Movie,1975,Dramas,5
1007,Movie,1974,Comedies,4
1122,Movie,1974,Dramas,3
1008,Movie,1974,International,2
1140,Movie,1973,Classic,6
814,Movie,1973,International,5
1005,Movie,1973,Action,5
1130,Movie,1972,Classic,2
1132,Movie,1972,Dramas,2
512,Movie,1972,Documentaries,1
1024,Movie,1971,Classic,7
1025,Movie,1971,Dramas,4
1050,Movie,1971,Cult,3
1166,Movie,1968,Classic,5
1164,Movie,1968,Children,2
1165,Movie,1968,Family,2
1143,Movie,1967,Classic,4
1144,Movie,1967,Dramas,4
1141,Movie,1967,Action,1
1185,Movie,1965,Classic,5
1186,Movie,1965,Dramas,5
1187,Movie,1965,Romantic,4
1028,Movie,1962,Dramas,4
1284,Movie,1962,Classic,3
1285,Movie,1962,Romantic,2
239,Movie,1961,Action,2
240,Movie,1961,Adventure,2
241,Movie,1961,Classic,2
980,Movie,1960,Comedies,3
981,Movie,1960,Dramas,3
982,Movie,1960,International,2
787,Movie,1958,Classic,3
788,Movie,1958,Dramas,2
789,Movie,1958,International,1
1335,Movie,1955,Classic,4
1351,Movie,1955,Comedies,3
1352,Movie,1955,Independent,3
