,type,release_year,genre,genres_yearly_count
1,TV Show,2021,International,101
2,TV Show,2021,Dramas,74
5,TV Show,2021,Comedies,50
31,TV Show,2020,International,222
16,TV Show,2020,Dramas,142
32,TV Show,2020,Comedies,100
298,TV Show,2019,International,195
300,TV Show,2019,Dramas,135
431,TV Show,2019,Crime,89
17,TV Show,2018,International,180
20,TV Show,2018,Dramas,103
296,TV Show,2018,Crime,87
427,TV Show,2017,International,138
673,TV Show,2017,Dramas,88
619,TV Show,2017,Crime,64
270,TV Show,2016,International,107
271,TV Show,2016,Dramas,62
135,TV Show,2016,Children,55
111,TV Show,2015,International,80
112,TV Show,2015,Dramas,40
291,TV Show,2015,Children,38
60,TV Show,2014,International,42
61,TV Show,2014,Dramas,21
675,TV Show,2014,Children,19
116,TV Show,2013,International,37
838,TV Show,2013,Dramas,18
324,TV Show,2013,Romantic,17
655,TV Show,2012,International,31
329,TV Show,2012,Comedies,19
898,TV Show,2012,Romantic,15
317,TV Show,2011,International,29
861,TV Show,2011,Children,16
1077,TV Show,2011,Docuseries,12
742,TV Show,2010,International,17
1045,TV Show,2010,Dramas,10
633,TV Show,2010,Children,9
313,TV Show,2009,International,18
829,TV Show,2009,Docuseries,11
315,TV Show,2009,Dramas,10
326,TV Show,2008,International,11
774,TV Show,2008,Anime,7
652,TV Show,2008,Children,6
423,TV Show,2007,Children,7
521,TV Show,2007,International,3
1099,TV Show,2007,Dramas,3
836,TV Show,2006,International,7
536,TV Show,2006,Anime,4
593,TV Show,2006,Comedies,4
323,TV Show,2005,Comedies,9
630,TV Show,2005,Children,5
321,TV Show,2005,International,3
880,TV Show,2004,Romantic,5
879,TV Show,2004,International,4
780,TV Show,2004,Children,2
876,TV Show,2003,International,5
740,TV Show,2003,Comedies,4
597,TV Show,2003,Children,3
1326,TV Show,2002,Children,4
720,TV Show,2002,Romantic,3
721,TV Show,2002,Dramas,3
1063,TV Show,2001,International,2
1080,TV Show,2001,British,2
1081,TV Show,2001,Docuseries,2
1323,TV Show,1999,Children,3
706,TV Show,1999,International,2
1059,TV Show,1999,Sci-Fi,2
541,TV Show,1993,Children,2
1366,TV Show,1993,Dramas,2
777,TV Show,1993,Reality,1
1315,TV Show,1990,Classic,2
1316,TV Show,1990,Cult,2
1265,TV Show,1990,Docuseries,1
